,mae,rmse,type
e-faecalis__Glycopeptides__Yorkshire and Humber,0.31982657700126615,0.3871916296074832,recursive
e-faecium__Glycopeptides__East Midlands,0.29748280339982275,0.3608014673473326,recursive
e-faecium__Glycopeptides__East of England,0.3755746490203495,0.4401994786829698,recursive
e-faecium__Glycopeptides__London,0.31245707633482056,0.37197042605699804,recursive
e-faecium__Glycopeptides__North East,0.29047360761853136,0.37097656609553276,recursive
e-faecium__Glycopeptides__North West,0.36070129453638267,0.41797200079041985,recursive
e-faecium__Glycopeptides__South East,0.4074373417471787,0.4875338420888861,recursive
e-faecium__Glycopeptides__South West,0.39289245839831854,0.4216684729740581,recursive
e-faecium__Glycopeptides__West Midlands,0.5011606564864362,0.5363799457665411,recursive
e-faecium__Glycopeptides__Yorkshire and Humber,0.28928939501093903,0.3446864693199193,recursive
