,organism,antibiotic,region,date,forecast
218,E-coli,Gentamicin,East Midlands,2025-09-01,11.189452
219,E-coli,Gentamicin,East Midlands,2025-10-01,11.380875
220,E-coli,Gentamicin,East Midlands,2025-11-01,11.4250345
221,E-coli,Gentamicin,East Midlands,2025-12-01,11.464653
222,E-coli,Gentamicin,East of England,2025-07-01,9.922455
223,E-coli,Gentamicin,East of England,2025-08-01,9.621873
224,E-coli,Gentamicin,East of England,2025-09-01,9.618139
225,E-coli,Gentamicin,East of England,2025-10-01,9.422264
226,E-coli,Gentamicin,East of England,2025-11-01,9.539568
227,E-coli,Gentamicin,East of England,2025-12-01,9.607465
228,E-coli,Gentamicin,London,2025-07-01,14.738466
229,E-coli,Gentamicin,London,2025-08-01,14.84797
230,E-coli,Gentamicin,London,2025-09-01,15.062678
231,E-coli,Gentamicin,London,2025-10-01,15.035512
232,E-coli,Gentamicin,London,2025-11-01,15.005963
233,E-coli,Gentamicin,London,2025-12-01,15.050879
234,E-coli,Gentamicin,North East,2025-07-01,11.257577
235,E-coli,Gentamicin,North East,2025-08-01,10.7543545
236,E-coli,Gentamicin,North East,2025-09-01,10.829494
237,E-coli,Gentamicin,North East,2025-10-01,10.942628
238,E-coli,Gentamicin,North East,2025-11-01,11.237226
239,E-coli,Gentamicin,North East,2025-12-01,11.163884
240,E-coli,Gentamicin,North West,2025-07-01,13.732398
241,E-coli,Gentamicin,North West,2025-08-01,13.536753
242,E-coli,Gentamicin,North West,2025-09-01,13.783017
243,E-coli,Gentamicin,North West,2025-10-01,13.801564
244,E-coli,Gentamicin,North West,2025-11-01,13.84617
245,E-coli,Gentamicin,North West,2025-12-01,13.857526
246,E-coli,Gentamicin,South East,2025-07-01,11.6674
247,E-coli,Gentamicin,South East,2025-08-01,11.643658
248,E-coli,Gentamicin,South East,2025-09-01,11.632632
249,E-coli,Gentamicin,South East,2025-10-01,11.675273
250,E-coli,Gentamicin,South East,2025-11-01,11.66925
251,E-coli,Gentamicin,South East,2025-12-01,11.66925
252,E-coli,Gentamicin,South West,2025-07-01,11.112703
253,E-coli,Gentamicin,South West,2025-08-01,10.960823
254,E-coli,Gentamicin,South West,2025-09-01,10.9742565
255,E-coli,Gentamicin,South West,2025-10-01,11.038694
256,E-coli,Gentamicin,South West,2025-11-01,11.227881
257,E-coli,Gentamicin,South West,2025-12-01,11.369025
258,E-coli,Gentamicin,West Midlands,2025-07-01,12.43752
259,E-coli,Gentamicin,West Midlands,2025-08-01,12.745131
260,E-coli,Gentamicin,West Midlands,2025-09-01,12.690353
261,E-coli,Gentamicin,West Midlands,2025-10-01,12.687425
262,E-coli,Gentamicin,West Midlands,2025-11-01,12.491053
263,E-coli,Gentamicin,West Midlands,2025-12-01,12.450239
264,E-coli,Gentamicin,Yorkshire and Humber,2025-07-01,10.533339
265,E-coli,Gentamicin,Yorkshire and Humber,2025-08-01,11.241602
266,E-coli,Gentamicin,Yorkshire and Humber,2025-09-01,11.879181
267,E-coli,Gentamicin,Yorkshire and Humber,2025-10-01,12.0853615
268,E-coli,Gentamicin,Yorkshire and Humber,2025-11-01,11.935992
269,E-coli,Gentamicin,Yorkshire and Humber,2025-12-01,11.6703005
270,E-coli,Piperacillin with tazobactam,East Midlands,2025-07-01,11.632994
271,E-coli,Piperacillin with tazobactam,East Midlands,2025-08-01,11.829128
272,E-coli,Piperacillin with tazobactam,East Midlands,2025-09-01,12.116008
273,E-coli,Piperacillin with tazobactam,East Midlands,2025-10-01,12.002557
274,E-coli,Piperacillin with tazobactam,East Midlands,2025-11-01,12.004546
275,E-coli,Piperacillin with tazobactam,East Midlands,2025-12-01,11.974411
276,E-coli,Piperacillin with tazobactam,East of England,2025-07-01,13.354514
277,E-coli,Piperacillin with tazobactam,East of England,2025-08-01,13.120028
278,E-coli,Piperacillin with tazobactam,East of England,2025-09-01,12.852999
279,E-coli,Piperacillin with tazobactam,East of England,2025-10-01,12.843969
280,E-coli,Piperacillin with tazobactam,East of England,2025-11-01,12.836437
281,E-coli,Piperacillin with tazobactam,East of England,2025-12-01,12.902749
282,E-coli,Piperacillin with tazobactam,London,2025-07-01,13.498491
283,E-coli,Piperacillin with tazobactam,London,2025-08-01,13.946333
284,E-coli,Piperacillin with tazobactam,London,2025-09-01,14.492576
285,E-coli,Piperacillin with tazobactam,London,2025-10-01,15.016346
