,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month
123,London,Amikacin,2021-07-01,E-coli,1.97,E-coli__Amikacin__London,London,0.97,7
124,London,Amikacin,2021-08-01,E-coli,1.82,E-coli__Amikacin__London,London,0.98,8
125,London,Amikacin,2021-09-01,E-coli,1.42,E-coli__Amikacin__London,London,0.99,9
126,London,Amikacin,2021-10-01,E-coli,1.44,E-coli__Amikacin__London,London,1.02,10
127,London,Amikacin,2021-11-01,E-coli,2.05,E-coli__Amikacin__London,London,1.05,11
128,London,Amikacin,2021-12-01,E-coli,2.52,E-coli__Amikacin__London,London,1.07,12
129,London,Amikacin,2022-01-01,E-coli,2.54,E-coli__Amikacin__London,London,1.07,1
130,London,Amikacin,2022-02-01,E-coli,2.66,E-coli__Amikacin__London,London,1.09,2
131,London,Amikacin,2022-03-01,E-coli,3.03,E-coli__Amikacin__London,London,1.11,3
132,London,Amikacin,2022-04-01,E-coli,2.82,E-coli__Amikacin__London,London,1.13,4
133,London,Amikacin,2022-05-01,E-coli,2.05,E-coli__Amikacin__London,London,1.15,5
134,London,Amikacin,2022-06-01,E-coli,1.51,E-coli__Amikacin__London,London,1.16,6
135,London,Amikacin,2022-07-01,E-coli,1.51,E-coli__Amikacin__London,London,1.17,7
136,London,Amikacin,2022-08-01,E-coli,2.26,E-coli__Amikacin__London,London,1.17,8
137,London,Amikacin,2022-09-01,E-coli,2.32,E-coli__Amikacin__London,London,1.17,9
138,London,Amikacin,2022-10-01,E-coli,2.71,E-coli__Amikacin__London,London,1.17,10
139,London,Amikacin,2022-11-01,E-coli,3.15,E-coli__Amikacin__London,London,1.18,11
140,London,Amikacin,2022-12-01,E-coli,3.79,E-coli__Amikacin__London,London,1.24,12
141,London,Amikacin,2023-01-01,E-coli,3.43,E-coli__Amikacin__London,London,1.28,1
142,London,Amikacin,2023-02-01,E-coli,3.72,E-coli__Amikacin__London,London,1.31,2
143,London,Amikacin,2023-03-01,E-coli,3.86,E-coli__Amikacin__London,London,1.33,3
144,London,Amikacin,2023-04-01,E-coli,4.82,E-coli__Amikacin__London,London,1.33,4
145,London,Amikacin,2023-05-01,E-coli,4.16,E-coli__Amikacin__London,London,1.34,5
146,London,Amikacin,2023-06-01,E-coli,4.26,E-coli__Amikacin__London,London,1.34,6
147,London,Amikacin,2023-07-01,E-coli,3.71,E-coli__Amikacin__London,London,1.34,7
148,London,Amikacin,2023-08-01,E-coli,3.7,E-coli__Amikacin__London,London,1.34,8
149,London,Amikacin,2023-09-01,E-coli,3.77,E-coli__Amikacin__London,London,1.34,9
150,London,Amikacin,2023-10-01,E-coli,3.83,E-coli__Amikacin__London,London,1.34,10
151,London,Amikacin,2023-11-01,E-coli,3.72,E-coli__Amikacin__London,London,1.34,11
152,London,Amikacin,2023-12-01,E-coli,3.08,E-coli__Amikacin__London,London,1.29,12
153,London,Amikacin,2024-01-01,E-coli,3.25,E-coli__Amikacin__London,London,1.29,1
154,London,Amikacin,2024-02-01,E-coli,3.2,E-coli__Amikacin__London,London,1.29,2
155,London,Amikacin,2024-03-01,E-coli,3.19,E-coli__Amikacin__London,London,1.28,3
156,London,Amikacin,2024-04-01,E-coli,3.2,E-coli__Amikacin__London,London,1.29,4
157,London,Amikacin,2024-05-01,E-coli,3.96,E-coli__Amikacin__London,London,1.3,5
158,London,Amikacin,2024-06-01,E-coli,3.97,E-coli__Amikacin__London,London,1.3,6
159,London,Amikacin,2024-07-01,E-coli,4.26,E-coli__Amikacin__London,London,1.3,7
160,London,Amikacin,2024-08-01,E-coli,3.14,E-coli__Amikacin__London,London,1.29,8
161,London,Amikacin,2024-09-01,E-coli,2.75,E-coli__Amikacin__London,London,1.29,9
162,London,Amikacin,2024-10-01,E-coli,2.58,E-coli__Amikacin__London,London,1.29,10
163,London,Amikacin,2024-11-01,E-coli,2.44,E-coli__Amikacin__London,London,1.28,11
164,London,Amikacin,2024-12-01,E-coli,2.7,E-coli__Amikacin__London,London,1.28,12
165,London,Amikacin,2025-01-01,E-coli,2.58,E-coli__Amikacin__London,London,1.27,1
166,London,Amikacin,2025-02-01,E-coli,2.8,E-coli__Amikacin__London,London,1.26,2
167,London,Amikacin,2025-03-01,E-coli,2.65,E-coli__Amikacin__London,London,1.25,3
168,London,Amikacin,2025-04-01,E-coli,2.3,E-coli__Amikacin__London,London,1.23,4
169,London,Amikacin,2025-05-01,E-coli,2.12,E-coli__Amikacin__London,London,1.21,5
170,London,Amikacin,2025-06-01,E-coli,2.12,E-coli__Amikacin__London,London,1.2,6
171,North East,Amikacin,2020-10-01,E-coli,5.0,E-coli__Amikacin__North East,North East and Yorkshire,1.52,10
172,North East,Amikacin,2020-11-01,E-coli,4.0,E-coli__Amikacin__North East,North East and Yorkshire,1.49,11
173,North East,Amikacin,2020-12-01,E-coli,3.33,E-coli__Amikacin__North East,North East and Yorkshire,1.45,12
174,North East,Amikacin,2021-01-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.42,1
175,North East,Amikacin,2021-02-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.39,2
176,North East,Amikacin,2021-03-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.36,3
177,North East,Amikacin,2021-04-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.34,4
178,North East,Amikacin,2021-05-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.35,5
179,North East,Amikacin,2021-06-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.36,6
180,North East,Amikacin,2021-07-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.38,7
181,North East,Amikacin,2021-08-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.39,8
182,North East,Amikacin,2021-09-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.41,9
183,North East,Amikacin,2021-10-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.44,10
184,North East,Amikacin,2021-11-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.47,11
185,North East,Amikacin,2021-12-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.51,12
186,North East,Amikacin,2022-01-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.52,1
187,North East,Amikacin,2022-02-01,E-coli,1.08,E-coli__Amikacin__North East,North East and Yorkshire,1.53,2
188,North East,Amikacin,2022-03-01,E-coli,0.93,E-coli__Amikacin__North East,North East and Yorkshire,1.56,3
189,North East,Amikacin,2022-04-01,E-coli,0.89,E-coli__Amikacin__North East,North East and Yorkshire,1.58,4
190,North East,Amikacin,2022-05-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.61,5
