date,series_id,value
2025-02-01,E-coli__Amikacin__South West,2.19
2025-03-01,E-coli__Amikacin__South West,2.66
2025-04-01,E-coli__Amikacin__South West,1.9
2025-05-01,E-coli__Amikacin__South West,2.29
2025-06-01,E-coli__Amikacin__South West,1.84
2021-10-01,E-coli__Amikacin__West Midlands,1.79
2021-11-01,E-coli__Amikacin__West Midlands,1.47
2021-12-01,E-coli__Amikacin__West Midlands,1.88
2022-01-01,E-coli__Amikacin__West Midlands,0.96
2022-02-01,E-coli__Amikacin__West Midlands,1.34
2022-03-01,E-coli__Amikacin__West Midlands,1.82
2022-04-01,E-coli__Amikacin__West Midlands,2.38
2022-05-01,E-coli__Amikacin__West Midlands,2.31
2022-06-01,E-coli__Amikacin__West Midlands,1.92
2022-07-01,E-coli__Amikacin__West Midlands,2.19
2022-08-01,E-coli__Amikacin__West Midlands,2.37
2022-09-01,E-coli__Amikacin__West Midlands,2.58
2022-10-01,E-coli__Amikacin__West Midlands,3.7
2022-11-01,E-coli__Amikacin__West Midlands,4.05
2022-12-01,E-coli__Amikacin__West Midlands,4.33
2023-01-01,E-coli__Amikacin__West Midlands,2.71
2023-02-01,E-coli__Amikacin__West Midlands,2.24
2023-03-01,E-coli__Amikacin__West Midlands,2.39
2023-04-01,E-coli__Amikacin__West Midlands,2.68
2023-05-01,E-coli__Amikacin__West Midlands,2.98
2023-06-01,E-coli__Amikacin__West Midlands,3.72
2023-07-01,E-coli__Amikacin__West Midlands,5.11
2023-08-01,E-coli__Amikacin__West Midlands,5.29
2023-09-01,E-coli__Amikacin__West Midlands,4.95
2023-10-01,E-coli__Amikacin__West Midlands,4.27
2023-11-01,E-coli__Amikacin__West Midlands,3.86
2023-12-01,E-coli__Amikacin__West Midlands,3.12
2024-01-01,E-coli__Amikacin__West Midlands,3.5
2024-02-01,E-coli__Amikacin__West Midlands,4.19
2024-03-01,E-coli__Amikacin__West Midlands,5.1
2024-04-01,E-coli__Amikacin__West Midlands,3.77
2024-05-01,E-coli__Amikacin__West Midlands,3.59
2024-06-01,E-coli__Amikacin__West Midlands,2.86
2024-07-01,E-coli__Amikacin__West Midlands,3.36
2024-08-01,E-coli__Amikacin__West Midlands,3.13
2024-09-01,E-coli__Amikacin__West Midlands,3.73
2024-10-01,E-coli__Amikacin__West Midlands,4.68
2024-11-01,E-coli__Amikacin__West Midlands,5.18
2024-12-01,E-coli__Amikacin__West Midlands,5.54
2025-01-01,E-coli__Amikacin__West Midlands,4.65
2025-02-01,E-coli__Amikacin__West Midlands,3.93
2025-03-01,E-coli__Amikacin__West Midlands,4.05
2025-04-01,E-coli__Amikacin__West Midlands,3.85
2025-05-01,E-coli__Amikacin__West Midlands,4.76
2025-06-01,E-coli__Amikacin__West Midlands,4.38
2021-10-01,E-coli__Amikacin__Yorkshire and Humber,4.26
2021-11-01,E-coli__Amikacin__Yorkshire and Humber,4.57
2021-12-01,E-coli__Amikacin__Yorkshire and Humber,5.59
2022-01-01,E-coli__Amikacin__Yorkshire and Humber,4.14
2022-02-01,E-coli__Amikacin__Yorkshire and Humber,4.29
2022-03-01,E-coli__Amikacin__Yorkshire and Humber,3.5
