geography,stratum,date,organism,resistance_pct
East Midlands,Co-amoxiclav,2025-06-01,E-coli,43.83
East Midlands,Gentamicin,2020-10-01,E-coli,5.22
East Midlands,Gentamicin,2020-11-01,E-coli,5.24
East Midlands,Gentamicin,2020-12-01,E-coli,4.56
East Midlands,Gentamicin,2021-01-01,E-coli,5.12
East Midlands,Gentamicin,2021-02-01,E-coli,6.09
East Midlands,Gentamicin,2021-03-01,E-coli,7.68
East Midlands,Gentamicin,2021-04-01,E-coli,8.38
East Midlands,Gentamicin,2021-05-01,E-coli,8.69
East Midlands,Gentamicin,2021-06-01,E-coli,8.6
East Midlands,Gentamicin,2021-07-01,E-coli,8.53
East Midlands,Gentamicin,2021-08-01,E-coli,7.33
East Midlands,Gentamicin,2021-09-01,E-coli,6.41
East Midlands,Gentamicin,2021-10-01,E-coli,6.63
East Midlands,Gentamicin,2021-11-01,E-coli,6.54
East Midlands,Gentamicin,2021-12-01,E-coli,7.31
East Midlands,Gentamicin,2022-01-01,E-coli,7.91
East Midlands,Gentamicin,2022-02-01,E-coli,8.53
East Midlands,Gentamicin,2022-03-01,E-coli,8.23
East Midlands,Gentamicin,2022-04-01,E-coli,8.46
East Midlands,Gentamicin,2022-05-01,E-coli,9.05
East Midlands,Gentamicin,2022-06-01,E-coli,8.56
East Midlands,Gentamicin,2022-07-01,E-coli,9.08
East Midlands,Gentamicin,2022-08-01,E-coli,9.21
East Midlands,Gentamicin,2022-09-01,E-coli,9.35
East Midlands,Gentamicin,2022-10-01,E-coli,7.62
East Midlands,Gentamicin,2022-11-01,E-coli,7.41
East Midlands,Gentamicin,2022-12-01,E-coli,9.21
East Midlands,Gentamicin,2023-01-01,E-coli,8.58
East Midlands,Gentamicin,2023-02-01,E-coli,7.53
East Midlands,Gentamicin,2023-03-01,E-coli,5.61
East Midlands,Gentamicin,2023-04-01,E-coli,6.36
East Midlands,Gentamicin,2023-05-01,E-coli,7.64
East Midlands,Gentamicin,2023-06-01,E-coli,8.63
East Midlands,Gentamicin,2023-07-01,E-coli,9.04
East Midlands,Gentamicin,2023-08-01,E-coli,8.88
East Midlands,Gentamicin,2023-09-01,E-coli,8.92
East Midlands,Gentamicin,2023-10-01,E-coli,8.96
East Midlands,Gentamicin,2023-11-01,E-coli,9.69
