,geography,stratum,organism,date,resistance_pct
346,East Midlands,Third Generation Cephalosporins,E-coli,2021-02-01,9.04
347,East Midlands,Third Generation Cephalosporins,E-coli,2021-03-01,11.02
348,East Midlands,Third Generation Cephalosporins,E-coli,2021-04-01,12.67
349,East Midlands,Third Generation Cephalosporins,E-coli,2021-05-01,12.89
350,East Midlands,Third Generation Cephalosporins,E-coli,2021-06-01,13.14
351,East Midlands,Third Generation Cephalosporins,E-coli,2021-07-01,12.97
352,East Midlands,Third Generation Cephalosporins,E-coli,2021-08-01,13.3
353,East Midlands,Third Generation Cephalosporins,E-coli,2021-09-01,12.54
354,East Midlands,Third Generation Cephalosporins,E-coli,2021-10-01,12.09
355,East Midlands,Third Generation Cephalosporins,E-coli,2021-11-01,11.6
356,East Midlands,Third Generation Cephalosporins,E-coli,2021-12-01,10.53
357,East Midlands,Third Generation Cephalosporins,E-coli,2022-01-01,11.83
358,East Midlands,Third Generation Cephalosporins,E-coli,2022-02-01,11.5
359,East Midlands,Third Generation Cephalosporins,E-coli,2022-03-01,12.78
360,East Midlands,Third Generation Cephalosporins,E-coli,2022-04-01,12.5
361,East Midlands,Third Generation Cephalosporins,E-coli,2022-05-01,13.53
362,East Midlands,Third Generation Cephalosporins,E-coli,2022-06-01,13.23
363,East Midlands,Third Generation Cephalosporins,E-coli,2022-07-01,13.16
364,East Midlands,Third Generation Cephalosporins,E-coli,2022-08-01,12.83
365,East Midlands,Third Generation Cephalosporins,E-coli,2022-09-01,14.49
366,East Midlands,Third Generation Cephalosporins,E-coli,2022-10-01,14.7
367,East Midlands,Third Generation Cephalosporins,E-coli,2022-11-01,14.73
368,East Midlands,Third Generation Cephalosporins,E-coli,2022-12-01,14.49
369,East Midlands,Third Generation Cephalosporins,E-coli,2023-01-01,12.69
370,East Midlands,Third Generation Cephalosporins,E-coli,2023-02-01,12.41
371,East Midlands,Third Generation Cephalosporins,E-coli,2023-03-01,11.84
372,East Midlands,Third Generation Cephalosporins,E-coli,2023-04-01,13.81
373,East Midlands,Third Generation Cephalosporins,E-coli,2023-05-01,13.99
374,East Midlands,Third Generation Cephalosporins,E-coli,2023-06-01,13.15
375,East Midlands,Third Generation Cephalosporins,E-coli,2023-07-01,13.75
376,East Midlands,Third Generation Cephalosporins,E-coli,2023-08-01,13.22
377,East Midlands,Third Generation Cephalosporins,E-coli,2023-09-01,13.66
378,East Midlands,Third Generation Cephalosporins,E-coli,2023-10-01,12.71
379,East Midlands,Third Generation Cephalosporins,E-coli,2023-11-01,14.16
380,East Midlands,Third Generation Cephalosporins,E-coli,2023-12-01,15.68
381,East Midlands,Third Generation Cephalosporins,E-coli,2024-01-01,15.39
382,East Midlands,Third Generation Cephalosporins,E-coli,2024-02-01,14.89
383,East Midlands,Third Generation Cephalosporins,E-coli,2024-03-01,13.58
384,East Midlands,Third Generation Cephalosporins,E-coli,2024-04-01,14.56
385,East Midlands,Third Generation Cephalosporins,E-coli,2024-05-01,14.96
386,East Midlands,Third Generation Cephalosporins,E-coli,2024-06-01,15.44
387,East Midlands,Third Generation Cephalosporins,E-coli,2024-07-01,16.46
388,East Midlands,Third Generation Cephalosporins,E-coli,2024-08-01,15.2
389,East Midlands,Third Generation Cephalosporins,E-coli,2024-09-01,15.27
390,East Midlands,Third Generation Cephalosporins,E-coli,2024-10-01,13.58
391,East Midlands,Third Generation Cephalosporins,E-coli,2024-11-01,15.12
392,East Midlands,Third Generation Cephalosporins,E-coli,2024-12-01,16.28
393,East Midlands,Third Generation Cephalosporins,E-coli,2025-01-01,18.43
394,East Midlands,Third Generation Cephalosporins,E-coli,2025-02-01,17.68
395,East Midlands,Third Generation Cephalosporins,E-coli,2025-03-01,16.94
396,East Midlands,Third Generation Cephalosporins,E-coli,2025-04-01,16.08
397,East Midlands,Third Generation Cephalosporins,E-coli,2025-05-01,16.51
398,East Midlands,Third Generation Cephalosporins,E-coli,2025-06-01,17.23
399,East of England,Amikacin,E-coli,2020-10-01,2.02
400,East of England,Amikacin,E-coli,2020-11-01,1.05
401,East of England,Amikacin,E-coli,2020-12-01,1.0
402,East of England,Amikacin,E-coli,2021-01-01,1.19
403,East of England,Amikacin,E-coli,2021-02-01,2.39
404,East of England,Amikacin,E-coli,2021-03-01,2.68
405,East of England,Amikacin,E-coli,2021-04-01,3.9
406,East of England,Amikacin,E-coli,2021-05-01,3.25
407,East of England,Amikacin,E-coli,2021-06-01,3.21
408,East of England,Amikacin,E-coli,2021-07-01,2.35
409,East of England,Amikacin,E-coli,2021-08-01,2.99
410,East of England,Amikacin,E-coli,2021-09-01,3.63
411,East of England,Amikacin,E-coli,2021-10-01,3.03
412,East of England,Amikacin,E-coli,2021-11-01,2.18
413,East of England,Amikacin,E-coli,2021-12-01,2.22
414,East of England,Amikacin,E-coli,2022-01-01,2.71
415,East of England,Amikacin,E-coli,2022-02-01,2.9
416,East of England,Amikacin,E-coli,2022-03-01,2.85
417,East of England,Amikacin,E-coli,2022-04-01,2.88
418,East of England,Amikacin,E-coli,2022-05-01,2.91
