date,value,series_id,is_forecast,model
2023-01-01,0.62,E-coli__Amikacin__North East,False,tcn
2023-02-01,0.65,E-coli__Amikacin__North East,False,tcn
2023-03-01,1.18,E-coli__Amikacin__North East,False,tcn
2023-04-01,2.73,E-coli__Amikacin__North East,False,tcn
2023-05-01,2.42,E-coli__Amikacin__North East,False,tcn
2023-06-01,2.26,E-coli__Amikacin__North East,False,tcn
2023-07-01,0.0,E-coli__Amikacin__North East,False,tcn
2023-08-01,0.83,E-coli__Amikacin__North East,False,tcn
2023-09-01,0.77,E-coli__Amikacin__North East,False,tcn
2023-10-01,0.81,E-coli__Amikacin__North East,False,tcn
2023-11-01,0.0,E-coli__Amikacin__North East,False,tcn
2023-12-01,4.04,E-coli__Amikacin__North East,False,tcn
2024-01-01,3.92,E-coli__Amikacin__North East,False,tcn
2024-02-01,4.67,E-coli__Amikacin__North East,False,tcn
2024-03-01,1.72,E-coli__Amikacin__North East,False,tcn
2024-04-01,3.7,E-coli__Amikacin__North East,False,tcn
2024-05-01,2.65,E-coli__Amikacin__North East,False,tcn
2024-06-01,1.87,E-coli__Amikacin__North East,False,tcn
2024-07-01,0.82,E-coli__Amikacin__North East,False,tcn
2024-08-01,0.84,E-coli__Amikacin__North East,False,tcn
2024-09-01,0.75,E-coli__Amikacin__North East,False,tcn
2024-10-01,0.8,E-coli__Amikacin__North East,False,tcn
2024-11-01,1.63,E-coli__Amikacin__North East,False,tcn
2024-12-01,2.54,E-coli__Amikacin__North East,False,tcn
2025-01-01,3.79,E-coli__Amikacin__North East,False,tcn
2025-02-01,5.47,E-coli__Amikacin__North East,False,tcn
2025-03-01,4.55,E-coli__Amikacin__North East,False,tcn
2025-04-01,2.46,E-coli__Amikacin__North East,False,tcn
2025-05-01,1.45,E-coli__Amikacin__North East,False,tcn
2025-06-01,2.31,E-coli__Amikacin__North East,False,tcn
2025-07-01,0.38754458737203173,E-coli__Amikacin__North East,True,tcn
2025-08-01,0.5146879968670658,E-coli__Amikacin__North East,True,tcn
2025-09-01,0.5409967591254078,E-coli__Amikacin__North East,True,tcn
2025-10-01,0.5524534882697808,E-coli__Amikacin__North East,True,tcn
2025-11-01,0.5513745245387143,E-coli__Amikacin__North East,True,tcn
2025-12-01,0.5961082606794282,E-coli__Amikacin__North East,True,tcn
2020-10-01,0.25,E-coli__Amikacin__North West,False,tcn
2020-11-01,0.78,E-coli__Amikacin__North West,False,tcn
2020-12-01,0.82,E-coli__Amikacin__North West,False,tcn
2021-01-01,1.16,E-coli__Amikacin__North West,False,tcn
2021-02-01,0.62,E-coli__Amikacin__North West,False,tcn
2021-03-01,0.46,E-coli__Amikacin__North West,False,tcn
2021-04-01,0.29,E-coli__Amikacin__North West,False,tcn
2021-05-01,1.21,E-coli__Amikacin__North West,False,tcn
2021-06-01,1.32,E-coli__Amikacin__North West,False,tcn
2021-07-01,1.37,E-coli__Amikacin__North West,False,tcn
2021-08-01,0.74,E-coli__Amikacin__North West,False,tcn
2021-09-01,1.05,E-coli__Amikacin__North West,False,tcn
2021-10-01,1.61,E-coli__Amikacin__North West,False,tcn
2021-11-01,1.85,E-coli__Amikacin__North West,False,tcn
2021-12-01,2.58,E-coli__Amikacin__North West,False,tcn
2022-01-01,2.86,E-coli__Amikacin__North West,False,tcn
2022-02-01,2.9,E-coli__Amikacin__North West,False,tcn
2022-03-01,2.34,E-coli__Amikacin__North West,False,tcn
2022-04-01,2.12,E-coli__Amikacin__North West,False,tcn
2022-05-01,1.83,E-coli__Amikacin__North West,False,tcn
2022-06-01,2.48,E-coli__Amikacin__North West,False,tcn
2022-07-01,2.91,E-coli__Amikacin__North West,False,tcn
2022-08-01,3.79,E-coli__Amikacin__North West,False,tcn
2022-09-01,3.24,E-coli__Amikacin__North West,False,tcn
2022-10-01,2.78,E-coli__Amikacin__North West,False,tcn
2022-11-01,3.0,E-coli__Amikacin__North West,False,tcn
2022-12-01,4.25,E-coli__Amikacin__North West,False,tcn
2023-01-01,4.77,E-coli__Amikacin__North West,False,tcn
