date,series_id,value,is_forecast,model
2024-06-01,E-coli__Amikacin__North West,3.28,False,xgb
2024-07-01,E-coli__Amikacin__North West,2.66,False,xgb
2024-08-01,E-coli__Amikacin__North West,2.79,False,xgb
2024-09-01,E-coli__Amikacin__North West,2.5,False,xgb
2024-10-01,E-coli__Amikacin__North West,3.19,False,xgb
2024-11-01,E-coli__Amikacin__North West,3.99,False,xgb
2024-12-01,E-coli__Amikacin__North West,4.72,False,xgb
2025-01-01,E-coli__Amikacin__North West,4.3,False,xgb
2025-02-01,E-coli__Amikacin__North West,3.11,False,xgb
2025-03-01,E-coli__Amikacin__North West,2.81,False,xgb
2025-04-01,E-coli__Amikacin__North West,3.38,False,xgb
2025-05-01,E-coli__Amikacin__North West,4.18,False,xgb
2025-06-01,E-coli__Amikacin__North West,3.58,False,xgb
2025-07-01,E-coli__Amikacin__North West,2.759321689605713,True,xgb
2025-08-01,E-coli__Amikacin__North West,2.4933078289031982,True,xgb
2025-09-01,E-coli__Amikacin__North West,2.6680984497070312,True,xgb
2025-10-01,E-coli__Amikacin__North West,3.8088743686676025,True,xgb
2025-11-01,E-coli__Amikacin__North West,4.157521724700928,True,xgb
2025-12-01,E-coli__Amikacin__North West,3.786872386932373,True,xgb
2021-10-01,E-coli__Amikacin__South East,2.03,False,xgb
2021-11-01,E-coli__Amikacin__South East,1.29,False,xgb
2021-12-01,E-coli__Amikacin__South East,0.98,False,xgb
2022-01-01,E-coli__Amikacin__South East,1.3,False,xgb
2022-02-01,E-coli__Amikacin__South East,2.22,False,xgb
2022-03-01,E-coli__Amikacin__South East,2.41,False,xgb
2022-04-01,E-coli__Amikacin__South East,3.05,False,xgb
2022-05-01,E-coli__Amikacin__South East,2.53,False,xgb
2022-06-01,E-coli__Amikacin__South East,2.85,False,xgb
2022-07-01,E-coli__Amikacin__South East,1.9,False,xgb
2022-08-01,E-coli__Amikacin__South East,2.27,False,xgb
2022-09-01,E-coli__Amikacin__South East,2.38,False,xgb
2022-10-01,E-coli__Amikacin__South East,3.25,False,xgb
2022-11-01,E-coli__Amikacin__South East,3.21,False,xgb
2022-12-01,E-coli__Amikacin__South East,3.48,False,xgb
2023-01-01,E-coli__Amikacin__South East,3.37,False,xgb
2023-02-01,E-coli__Amikacin__South East,3.33,False,xgb
2023-03-01,E-coli__Amikacin__South East,3.0,False,xgb
2023-04-01,E-coli__Amikacin__South East,2.81,False,xgb
2023-05-01,E-coli__Amikacin__South East,3.16,False,xgb
2023-06-01,E-coli__Amikacin__South East,3.22,False,xgb
2023-07-01,E-coli__Amikacin__South East,3.0,False,xgb
2023-08-01,E-coli__Amikacin__South East,2.44,False,xgb
2023-09-01,E-coli__Amikacin__South East,2.82,False,xgb
2023-10-01,E-coli__Amikacin__South East,2.56,False,xgb
